Energy (eV),DOS_up
-20.43865075,0.0
-20.38915075,0.0
-20.33965075,0.0
-20.29025075,0.0
-20.24075075,0.0
-20.191250750000002,0.0
-20.14185075,0.0
-20.09235075,0.0
-20.04285075,0.0
-19.99335075,0.0
-19.94395075,0.0
-19.89445075,0.0
-19.844950750000002,0.0
-19.79545075,0.0
-19.746050750000002,0.0
-19.69655075,0.0
-19.64705075,0.0
-19.59765075,0.0
-19.548150749999998,0.0
-19.498650750000003,0.0
-19.44915075,0.0
-19.399750750000003,0.0
-19.35025075,0.0
-19.30075075,0.0
-19.25135075,0.0
-19.20185075,0.0
-19.15235075,0.0
-19.10285075,0.0
-19.05345075,0.0
-19.00395075,0.0
-18.95445075,0.0
-18.90505075,0.0
-18.85555075,0.0
-18.80605075,0.0
-18.756550750000002,0.0
-18.70715075,0.0
-18.657650750000002,0.0
-18.60815075,0.0
-18.558650749999998,0.0
-18.50925075,0.0
-18.459750749999998,0.0
-18.410250750000003,0.0
-18.36085075,0.0
-18.311350750000003,0.0
-18.26185075,0.0
-18.21235075,0.0
-18.16295075,0.0
-18.11345075,0.0
-18.06395075,0.0
-18.014550749999998,0.0
-17.96505075,0.0
-17.91555075,0.0
-17.86605075,0.0
-17.81665075,0.0
-17.76715075,0.0
-17.71765075,0.0
-17.66825075,0.0
-17.61875075,0.0
-17.569250750000002,0.0
-17.51975075,0.0
-17.47035075,0.0
-17.42085075,0.0
-17.37135075,0.0
-17.32195075,0.0
-17.27245075,0.0
-17.222950750000003,0.0
-17.17345075,0.0
-17.124050750000002,0.0
-17.07455075,0.0
-17.02505075,0.0
-16.97555075,0.0
-16.926150749999998,0.0
-16.87665075,0.0
-16.82715075,0.0
-16.777750750000003,0.0
-16.72825075,0.0
-16.67875075,0.0
-16.62925075,0.0
-16.57985075,0.0
-16.53035075,0.0
-16.480850750000002,0.0
-16.43145075,0.0
-16.38195075,0.0
-16.33245075,0.0
-16.28295075,0.0
-16.23355075,0.0
-16.18405075,0.0
-16.134550750000002,0.0
-16.08515075,0.0
-16.035650750000002,0.0
-15.98615075,0.0
-15.93665075,0.0
-15.88725075,0.0
-15.83775075,0.0
-15.78825075,0.0
-15.738750750000001,1.926
-15.689350750000001,3.56
-15.63985075,3.6798
-15.59035075,4.1791
-15.54095075,4.4601
-15.49145075,4.9172
-15.44195075,5.711
-15.39245075,6.435
-15.34305075,8.5503
-15.29355075,11.1265
-15.24405075,16.5111
-15.194650750000001,0.0
-15.14515075,0.0
-15.09565075,0.0
-15.04615075,0.0
-14.99675075,0.0
-14.94725075,0.0
-14.89775075,0.0
-14.84835075,0.0
-14.79885075,0.0
-14.74935075,0.0
-14.699850750000001,0.0
-14.650450750000001,0.0
-14.60095075,0.0
-14.55145075,0.0
-14.50205075,0.0
-14.45255075,0.0
-14.40305075,0.0
-14.35355075,0.0
-14.30415075,0.0
-14.25465075,0.0
-14.20515075,0.0
-14.155650750000001,0.0
-14.106250750000001,0.0
-14.05675075,0.0
-14.00725075,0.0081
-13.95785075,1.2957
-13.90835075,1.5425
-13.85885075,2.5863
-13.80935075,2.8002
-13.75995075,2.8688
-13.71045075,3.0585
-13.66095075,3.2106
-13.611550750000001,3.4302
-13.562050750000001,3.7309
-13.51255075,4.0853
-13.46305075,4.4283
-13.41365075,5.265
-13.36415075,6.2176
-13.31465075,7.691
